HCP_ID,Doctor_Name,Specialization,Hospital_ID,Territory_ID,Qualification,Experience_Years,City,Email,Phone,Status,Join_Date,Gender
HCP00001,Dr_1,Pulmonologist,HOS0375,T138,MD,6,Pune,dr0@novacure.com,9871411774,Inactive,2024-01-01,M
HCP00002,Dr_2,Diabetologist,HOS0821,T125,MD,11,Pune,dr1@novacure.com,9114880694,Active,2024-01-01,M
HCP00003,Dr_3,Oncologist,HOS0083,T092,DM,21,Pune,dr2@novacure.com,9286792098,Active,2024-01-01,M
HCP00004,Dr_4,Diabetologist,HOS0244,T129,DM,34,Delhi,dr3@novacure.com,9548520399,Inactive,2024-01-01,F
HCP00005,Dr_5,Physician,HOS0896,T151,MD,13,Chennai,dr4@novacure.com,9375067210,Active,2024-01-01,M
HCP00006,Dr_6,Neurologist,HOS0975,T199,MBBS,32,Hyderabad,dr5@novacure.com,9363612535,Active,2024-01-01,F
HCP00007,Dr_7,Physician,HOS0560,T155,DM,30,Chennai,dr6@novacure.com,9297877637,Inactive,2024-01-01,F
HCP00008,Dr_8,Cardiologist,HOS0363,T052,MD,6,Hyderabad,dr7@novacure.com,9226138856,Inactive,2024-01-01,M
HCP00009,Dr_9,Neurologist,HOS0287,T084,MD,2,Chennai,dr8@novacure.com,9869897894,Active,2024-01-01,F
HCP00010,Dr_10,Diabetologist,HOS0705,T166,MBBS,30,Pune,dr9@novacure.com,9996667308,Active,2024-01-01,F
HCP00011,Dr_11,Oncologist,HOS0357,T167,MBBS,21,Hyderabad,dr10@novacure.com,9720871676,Active,2024-01-01,M
HCP00012,Dr_12,Physician,HOS0683,T074,MD,7,Pune,dr11@novacure.com,9995348060,Active,2024-01-01,F
HCP00013,Dr_13,Physician,HOS0043,T155,DM,30,Chennai,dr12@novacure.com,9303005269,Active,2024-01-01,F
HCP00014,Dr_14,Oncologist,HOS0127,T093,DM,7,Pune,dr13@novacure.com,9933780176,Inactive,2024-01-01,F
HCP00015,Dr_15,Oncologist,HOS0214,T049,MD,12,Pune,dr14@novacure.com,9257328811,Inactive,2024-01-01,F
HCP00016,Dr_16,Diabetologist,HOS0323,T176,MBBS,17,Hyderabad,dr15@novacure.com,9738811952,Active,2024-01-01,M
HCP00017,Dr_17,Oncologist,HOS0166,T058,MD,11,Pune,dr16@novacure.com,9339857396,Inactive,2024-01-01,F
HCP00018,Dr_18,Diabetologist,HOS0873,T125,MD,21,Delhi,dr17@novacure.com,9567377144,Inactive,2024-01-01,F
HCP00019,Dr_19,Diabetologist,HOS0719,T164,DM,33,Delhi,dr18@novacure.com,9309446224,Active,2024-01-01,F
HCP00020,Dr_20,Physician,HOS0215,T184,MBBS,20,Chennai,dr19@novacure.com,9856368785,Active,2024-01-01,F
HCP00021,Dr_21,Cardiologist,HOS0468,T020,MBBS,27,Pune,dr20@novacure.com,9670283412,Inactive,2024-01-01,F
HCP00022,Dr_22,Oncologist,HOS0569,T200,DM,1,Chennai,dr21@novacure.com,9597039244,Inactive,2024-01-01,M
HCP00023,Dr_23,Oncologist,HOS0481,T168,MD,33,Pune,dr22@novacure.com,9973406429,Inactive,2024-01-01,F
HCP00024,Dr_24,Physician,HOS0603,T031,DM,16,Hyderabad,dr23@novacure.com,9247702847,Active,2024-01-01,F
HCP00025,Dr_25,Cardiologist,HOS0982,T148,MD,9,Pune,dr24@novacure.com,9593316707,Active,2024-01-01,F
HCP00026,Dr_26,Pulmonologist,HOS0258,T040,MBBS,23,Hyderabad,dr25@novacure.com,9823314766,Active,2024-01-01,M
HCP00027,Dr_27,Physician,HOS0891,T185,MD,32,Chennai,dr26@novacure.com,9726615541,Inactive,2024-01-01,F
HCP00028,Dr_28,Physician,HOS0795,T138,MBBS,27,Pune,dr27@novacure.com,9422037795,Inactive,2024-01-01,F
HCP00029,Dr_29,Diabetologist,HOS0006,T040,DM,35,Chennai,dr28@novacure.com,9998307035,Active,2024-01-01,F
HCP00030,Dr_30,Neurologist,HOS0790,T075,MBBS,1,Pune,dr29@novacure.com,9497750248,Inactive,2024-01-01,M
HCP00031,Dr_31,Diabetologist,HOS0982,T172,DM,34,Delhi,dr30@novacure.com,9388909103,Active,2024-01-01,F
HCP00032,Dr_32,Physician,HOS0015,T095,MD,3,Delhi,dr31@novacure.com,9678038003,Inactive,2024-01-01,F
HCP00033,Dr_33,Cardiologist,HOS0515,T136,MD,13,Hyderabad,dr32@novacure.com,9723796887,Inactive,2024-01-01,M
HCP00034,Dr_34,Neurologist,HOS0200,T160,DM,31,Chennai,dr33@novacure.com,9312246764,Active,2024-01-01,M
HCP00035,Dr_35,Cardiologist,HOS0129,T070,DM,3,Pune,dr34@novacure.com,9153348543,Active,2024-01-01,F
HCP00036,Dr_36,Neurologist,HOS0685,T059,DM,25,Chennai,dr35@novacure.com,9780797196,Active,2024-01-01,M
HCP00037,Dr_37,Neurologist,HOS0307,T071,DM,26,Chennai,dr36@novacure.com,9879242863,Active,2024-01-01,F
HCP00038,Dr_38,Physician,HOS0152,T100,MD,32,Hyderabad,dr37@novacure.com,9711382702,Active,2024-01-01,F
HCP00039,Dr_39,Pulmonologist,HOS0451,T072,MD,20,Delhi,dr38@novacure.com,9330748250,Inactive,2024-01-01,F
HCP00040,Dr_40,Cardiologist,HOS0956,T091,DM,6,Pune,dr39@novacure.com,9245983106,Active,2024-01-01,M
HCP00041,Dr_41,Cardiologist,HOS0687,T006,MBBS,8,Delhi,dr40@novacure.com,9362177203,Active,2024-01-01,F
HCP00042,Dr_42,Pulmonologist,HOS0500,T184,MBBS,10,Chennai,dr41@novacure.com,9474815751,Inactive,2024-01-01,M
HCP00043,Dr_43,Cardiologist,HOS0367,T019,MD,28,Hyderabad,dr42@novacure.com,9411218141,Inactive,2024-01-01,M
HCP00044,Dr_44,Diabetologist,HOS0727,T079,MD,24,Pune,dr43@novacure.com,9646305590,Inactive,2024-01-01,F
HCP00045,Dr_45,Cardiologist,HOS0796,T175,MBBS,16,Hyderabad,dr44@novacure.com,9966397191,Inactive,2024-01-01,F
HCP00046,Dr_46,Pulmonologist,HOS0390,T121,MBBS,27,Chennai,dr45@novacure.com,9747044979,Active,2024-01-01,F
HCP00047,Dr_47,Neurologist,HOS0808,T063,MBBS,31,Hyderabad,dr46@novacure.com,9122067595,Inactive,2024-01-01,F
HCP00048,Dr_48,Diabetologist,HOS0281,T173,MD,12,Hyderabad,dr47@novacure.com,9505162444,Active,2024-01-01,F
HCP00049,Dr_49,Oncologist,HOS0036,T010,MD,25,Pune,dr48@novacure.com,9927313336,Active,2024-01-01,F
HCP00050,Dr_50,Oncologist,HOS0042,T176,DM,15,Hyderabad,dr49@novacure.com,9814477282,Inactive,2024-01-01,F
HCP00051,Dr_51,Neurologist,HOS0180,T012,MD,29,Hyderabad,dr50@novacure.com,9367527257,Inactive,2024-01-01,M
HCP00052,Dr_52,Diabetologist,HOS0334,T192,DM,26,Pune,dr51@novacure.com,9117972367,Active,2024-01-01,M
HCP00053,Dr_53,Pulmonologist,HOS0408,T097,MD,35,Chennai,dr52@novacure.com,9678007932,Active,2024-01-01,F
HCP00054,Dr_54,Neurologist,HOS0899,T161,DM,31,Pune,dr53@novacure.com,9895602892,Inactive,2024-01-01,M
HCP00055,Dr_55,Neurologist,HOS0834,T031,MD,17,Chennai,dr54@novacure.com,9783657073,Inactive,2024-01-01,M
HCP00056,Dr_56,Neurologist,HOS0845,T096,MBBS,10,Pune,dr55@novacure.com,9195810220,Inactive,2024-01-01,M
HCP00057,Dr_57,Pulmonologist,HOS0826,T076,MBBS,4,Delhi,dr56@novacure.com,9971323183,Inactive,2024-01-01,F
HCP00058,Dr_58,Oncologist,HOS0486,T136,MBBS,22,Hyderabad,dr57@novacure.com,9662632265,Inactive,2024-01-01,M
HCP00059,Dr_59,Diabetologist,HOS0502,T006,MBBS,15,Hyderabad,dr58@novacure.com,9910159944,Active,2024-01-01,M
HCP00060,Dr_60,Oncologist,HOS0209,T087,DM,22,Delhi,dr59@novacure.com,9538205888,Active,2024-01-01,F
HCP00061,Dr_61,Pulmonologist,HOS0013,T140,MBBS,33,Hyderabad,dr60@novacure.com,9590801641,Inactive,2024-01-01,M
HCP00062,Dr_62,Neurologist,HOS0275,T027,MD,12,Hyderabad,dr61@novacure.com,9187361317,Inactive,2024-01-01,F
HCP00063,Dr_63,Pulmonologist,HOS0204,T172,MD,18,Chennai,dr62@novacure.com,9929213756,Active,2024-01-01,M
HCP00064,Dr_64,Neurologist,HOS0245,T041,MBBS,7,Delhi,dr63@novacure.com,9532018057,Active,2024-01-01,F
HCP00065,Dr_65,Diabetologist,HOS0467,T005,DM,29,Hyderabad,dr64@novacure.com,9592299207,Active,2024-01-01,F
HCP00066,Dr_66,Diabetologist,HOS0294,T053,MD,32,Hyderabad,dr65@novacure.com,9665200721,Active,2024-01-01,F
HCP00067,Dr_67,Neurologist,HOS0698,T139,DM,22,Pune,dr66@novacure.com,9329908281,Inactive,2024-01-01,F
