Rep_ID,Rep_Name,Territory_ID,Manager_ID,Region,Email,Phone,Target,Achieved,Joining_Date,Status
REP0001,SalesRep_1,T151,M039,East,rep0@novacure.com,9298391244,1825714,3361942,2023-01-01,Active
REP0002,SalesRep_2,T013,M034,South,rep1@novacure.com,9830398934,4264475,1447975,2023-01-01,Active
REP0003,SalesRep_3,T101,M013,North,rep2@novacure.com,9507240357,842588,2380527,2023-01-01,Active
REP0004,SalesRep_4,T038,M039,West,rep3@novacure.com,9595495023,3723124,2644630,2023-01-01,Inactive
REP0005,SalesRep_5,T017,M041,East,rep4@novacure.com,9442023580,1984555,3924425,2023-01-01,Inactive
REP0006,SalesRep_6,T147,M018,West,rep5@novacure.com,9173626645,562654,4530261,2023-01-01,Inactive
REP0007,SalesRep_7,T008,M001,North,rep6@novacure.com,9459923922,2306840,3411978,2023-01-01,Inactive
REP0008,SalesRep_8,T134,M021,West,rep7@novacure.com,9773191914,2446919,3450323,2023-01-01,Active
REP0009,SalesRep_9,T106,M036,West,rep8@novacure.com,9285635799,2701685,514878,2023-01-01,Active
REP0010,SalesRep_10,T194,M028,West,rep9@novacure.com,9994246821,1271185,3651837,2023-01-01,Active
REP0011,SalesRep_11,T184,M019,North,rep10@novacure.com,9819178041,4251739,1358999,2023-01-01,Active
REP0012,SalesRep_12,T057,M009,South,rep11@novacure.com,9842470657,4870865,1491564,2023-01-01,Active
REP0013,SalesRep_13,T132,M014,North,rep12@novacure.com,9809851870,2613447,371467,2023-01-01,Inactive
REP0014,SalesRep_14,T009,M010,North,rep13@novacure.com,9270398786,3235191,2426024,2023-01-01,Active
REP0015,SalesRep_15,T058,M022,East,rep14@novacure.com,9406794678,4054335,3099445,2023-01-01,Active
REP0016,SalesRep_16,T120,M001,East,rep15@novacure.com,9304630943,1163542,2330619,2023-01-01,Inactive
REP0017,SalesRep_17,T176,M020,East,rep16@novacure.com,9830712166,772101,4986903,2023-01-01,Active
REP0018,SalesRep_18,T104,M045,East,rep17@novacure.com,9663546893,2867644,1050859,2023-01-01,Active
REP0019,SalesRep_19,T180,M047,South,rep18@novacure.com,9995050600,791468,2825197,2023-01-01,Active
REP0020,SalesRep_20,T069,M008,North,rep19@novacure.com,9919046260,2381951,915353,2023-01-01,Active
REP0021,SalesRep_21,T100,M036,North,rep20@novacure.com,9285526861,4738624,4396666,2023-01-01,Inactive
REP0022,SalesRep_22,T114,M041,West,rep21@novacure.com,9790859581,3062626,1878552,2023-01-01,Active
REP0023,SalesRep_23,T127,M013,East,rep22@novacure.com,9220487273,1234790,2779495,2023-01-01,Inactive
REP0024,SalesRep_24,T104,M017,South,rep23@novacure.com,9873720758,3356549,4198116,2023-01-01,Active
REP0025,SalesRep_25,T115,M020,North,rep24@novacure.com,9452192683,4922842,4697163,2023-01-01,Inactive
REP0026,SalesRep_26,T067,M008,East,rep25@novacure.com,9715379477,4653789,1537923,2023-01-01,Inactive
REP0027,SalesRep_27,T168,M039,West,rep26@novacure.com,9848147479,1998599,1769261,2023-01-01,Active
REP0028,SalesRep_28,T011,M030,South,rep27@novacure.com,9134717991,3399279,1677157,2023-01-01,Inactive
REP0029,SalesRep_29,T069,M009,North,rep28@novacure.com,9714934506,2791924,2625195,2023-01-01,Inactive
REP0030,SalesRep_30,T086,M015,West,rep29@novacure.com,9111258880,1119768,2037230,2023-01-01,Active
REP0031,SalesRep_31,T115,M037,South,rep30@novacure.com,9677314885,3878925,3717349,2023-01-01,Active
REP0032,SalesRep_32,T164,M001,East,rep31@novacure.com,9437412583,3978928,2524891,2023-01-01,Active
REP0033,SalesRep_33,T089,M005,North,rep32@novacure.com,9100707548,2890641,2381373,2023-01-01,Active
REP0034,SalesRep_34,T134,M041,East,rep33@novacure.com,9919405148,2229293,297448,2023-01-01,Inactive
REP0035,SalesRep_35,T093,M042,West,rep34@novacure.com,9175698287,3160740,1386689,2023-01-01,Inactive
REP0036,SalesRep_36,T027,M008,West,rep35@novacure.com,9246918948,3618103,902665,2023-01-01,Inactive
REP0037,SalesRep_37,T125,M047,North,rep36@novacure.com,9754939969,3634004,4920523,2023-01-01,Active
REP0038,SalesRep_38,T054,M031,South,rep37@novacure.com,9622176138,2240304,1211765,2023-01-01,Active
REP0039,SalesRep_39,T054,M046,West,rep38@novacure.com,9335298074,4997382,417986,2023-01-01,Active
REP0040,SalesRep_40,T150,M038,East,rep39@novacure.com,9167732686,3241096,1432885,2023-01-01,Inactive
REP0041,SalesRep_41,T019,M036,North,rep40@novacure.com,9962103881,938929,2312000,2023-01-01,Active
REP0042,SalesRep_42,T046,M042,West,rep41@novacure.com,9976692991,3784473,3139348,2023-01-01,Active
REP0043,SalesRep_43,T139,M018,East,rep42@novacure.com,9685065126,1360332,2861812,2023-01-01,Inactive
REP0044,SalesRep_44,T017,M028,North,rep43@novacure.com,9728988245,2658437,4049650,2023-01-01,Active
REP0045,SalesRep_45,T017,M037,North,rep44@novacure.com,9153579138,4113682,3239513,2023-01-01,Active
REP0046,SalesRep_46,T196,M023,South,rep45@novacure.com,9979013542,3805216,3036597,2023-01-01,Inactive
REP0047,SalesRep_47,T106,M022,East,rep46@novacure.com,9920269836,4186643,2581341,2023-01-01,Inactive
REP0048,SalesRep_48,T091,M006,East,rep47@novacure.com,9801098441,3246246,1661258,2023-01-01,Inactive
REP0049,SalesRep_49,T170,M002,West,rep48@novacure.com,9563972218,645512,1914751,2023-01-01,Inactive
REP0050,SalesRep_50,T074,M040,South,rep49@novacure.com,9733386657,2969750,1809959,2023-01-01,Inactive
REP0051,SalesRep_51,T190,M031,South,rep50@novacure.com,9390170060,4103365,3460886,2023-01-01,Inactive
REP0052,SalesRep_52,T158,M027,East,rep51@novacure.com,9984465822,1085740,4337218,2023-01-01,Active
REP0053,SalesRep_53,T070,M022,South,rep52@novacure.com,9852690727,3382781,3332082,2023-01-01,Inactive
REP0054,SalesRep_54,T141,M040,West,rep53@novacure.com,9594161694,3267848,2682228,2023-01-01,Inactive
REP0055,SalesRep_55,T151,M034,East,rep54@novacure.com,9577321213,3305750,3626871,2023-01-01,Active
REP0056,SalesRep_56,T184,M017,North,rep55@novacure.com,9785873402,1794793,214661,2023-01-01,Inactive
REP0057,SalesRep_57,T136,M029,South,rep56@novacure.com,9839377243,4633192,4852232,2023-01-01,Inactive
REP0058,SalesRep_58,T112,M010,West,rep57@novacure.com,9123230514,3486772,2056374,2023-01-01,Inactive
REP0059,SalesRep_59,T166,M040,North,rep58@novacure.com,9909178302,1425079,2542268,2023-01-01,Active
REP0060,SalesRep_60,T143,M028,East,rep59@novacure.com,9695551731,2799867,3824356,2023-01-01,Active
REP0061,SalesRep_61,T163,M043,North,rep60@novacure.com,9643106472,2639323,1467652,2023-01-01,Active
REP0062,SalesRep_62,T195,M007,South,rep61@novacure.com,9868977365,4089976,3961424,2023-01-01,Active
REP0063,SalesRep_63,T156,M003,East,rep62@novacure.com,9502115751,2524927,2167357,2023-01-01,Active
REP0064,SalesRep_64,T177,M030,West,rep63@novacure.com,9203075035,1840803,241538,2023-01-01,Active
REP0065,SalesRep_65,T053,M048,East,rep64@novacure.com,9870241309,2121179,1817599,2023-01-01,Active
REP0066,SalesRep_66,T132,M011,South,rep65@novacure.com,9242719757,1692699,1603451,2023-01-01,Inactive
REP0067,SalesRep_67,T085,M008,South,rep66@novacure.com,9811557474,3989328,4397120,2023-01-01,Inactive
REP0068,SalesRep_68,T200,M040,North,rep67@novacure.com,9506686351,2334934,132287,2023-01-01,Inactive
REP0069,SalesRep_69,T088,M046,North,rep68@novacure.com,9621546072,1851540,3833040,2023-01-01,Active
REP0070,SalesRep_70,T075,M002,East,rep69@novacure.com,9189445075,3752488,1903181,2023-01-01,Inactive
REP0071,SalesRep_71,T114,M036,West,rep70@novacure.com,9977243202,1330639,4946723,2023-01-01,Inactive
